GEOID20,District
132419701032027,9
132419701032028,9
132419701032029,9
132419701032030,9
132419701032031,9
132419701032032,9
132419701032033,9
132419701032034,9
132419701032035,9
132419701032036,9
132419701032037,9
132419702011000,9
132419702011001,9
132419702011002,9
132419702011003,9
132419702011004,9
132419702011005,9
132419702011006,9
132419702011007,9
132419702011008,9
132419702011009,9
132419702011010,9
132419702011011,9
132419702011012,9
132419702011013,9
132419702011014,9
132419702011015,9
132419702011016,9
132419702011017,9
132419702011018,9
132419702011019,9
132419702011020,9
132419702011021,9
132419702011022,9
132419702011023,9
132419702011024,9
132419702011025,9
132419702011026,9
132419702011027,9
132419702011028,9
132419702011029,9
132419702011030,9
132419702011031,9
132419702011032,9
132419702011033,9
132419702011034,9
132419702011035,9
132419702011036,9
132419702011037,9
132419702011038,9
132419702011039,9
132419702011040,9
132419702011041,9
132419702011042,9
132419702011043,9
132419702011044,9
132419702011045,9
132419702011046,9
132419702011047,9
132419702011048,9
132419702011049,9
132419702011050,9
132419702012000,9
132419702012001,9
132419702012002,9
132419702012003,9
132419702012004,9
132419702012005,9
132419702012006,9
132419702012007,9
132419702012008,9
132419702012009,9
132419702012010,9
132419702012011,9
132419702012012,9
132419702012013,9
132419702012014,9
132419702012015,9
132419702012016,9
132419702012017,9
132419702012018,9
132419702012019,9
132419702012020,9
132419702012021,9
132419702012022,9
132419702012023,9
132419702012024,9
132419702012025,9
132419702012026,9
132419702012027,9
132419702012028,9
132419702012029,9
132419702012030,9
132419702012031,9
132419702012032,9
132419702012033,9
132419702012034,9
132419702012035,9
132419702012036,9
132419702012037,9
132419702012038,9
132419702012039,9
132419702012040,9
132419702012041,9
132419702012042,9
132419702012043,9
132419702012044,9
132419702012045,9
132419702012046,9
132419702012047,9
132419702012048,9
132419702012049,9
132419702012050,9
132419702012051,9
132419702012052,9
132419702012053,9
132419702012054,9
132419702012055,9
132419702012056,9
132419702012057,9
132419702012058,9
132419702012059,9
132419702012060,9
132419702012061,9
132419702012062,9
132419702012063,9
132419702012064,9
132419702012065,9
132419702012066,9
132419702013000,9
132419702013001,9
132419702013002,9
132419702013003,9
132419702013004,9
132419702013005,9
132419702013006,9
132419702013007,9
132419702013008,9
132419702013009,9
132419702013010,9
132419702013011,9
132419702013012,9
132419702013013,9
132419702013014,9
132419702013015,9
132419702013016,9
132419702013017,9
132419702013018,9
132419702013019,9
132419702013020,9
132419702013021,9
132419702013022,9
132419702013023,9
132419702013024,9
132419702013025,9
132419702013026,9
132419702013027,9
132419702013028,9
132419702013029,9
132419702013030,9
132419702014000,9
132419702014001,9
132419702014002,9
132419702014003,9
132419702014004,9
132419702014005,9
132419702014006,9
132419702014007,9
132419702014008,9
132419702014009,9
132419702014010,9
132419702014011,9
132419702014012,9
132419702014013,9
132419702014014,9
132419702014015,9
132419702014016,9
132419702014017,9
132419702014018,9
132419702014019,9
132419702014020,9
132419702014021,9
132419702014022,9
132419702014023,9
132419702014024,9
132419702014025,9
132419702014026,9
132419702014027,9
132419702014028,9
132419702014029,9
132419702021000,9
132419702021001,9
132419702021002,9
132419702021003,9
132419702021004,9
132419702021005,9
132419702021006,9
132419702021007,9
132419702021008,9
132419702021009,9
132419702021010,9
132419702021011,9
132419702021012,9
132419702021013,9
132419702021014,9
132419702021015,9
132419702021016,9
132419702021017,9
132419702021018,9
132419702021019,9
132419702021020,9
